section,bars,seconds,title,emoji,chords,lyrics,description
Intro,4,,Soft pad,🌫️,,,Drums build into the verse
Verse,8,,,,G — D — Em — C,"Yesterday\nall my troubles seemed so far away","First time around — gentle"
Chorus,8,,Big harmonies,🎶,G — D — Em — C,"All you need is love\nAll you need is love",
Riff,4,,Heavy palm-mute,🔥,,,
Verse,8,,,,G — D — Em — C,"Now it looks as though they're here to stay",
Chorus,8,,Big harmonies,🎶,G — D — Em — C,"All you need is love\nAll you need is love","Push this one harder"
Bridge,4,,,🎤,Am — F — C — G,,
Solo,16,,Guitar solo,🎸,G — D — Em — C,,Marc takes lead — drop rhythm volume
Chorus,16,,Big finish,🎶,G — D — Em — C,"All you need is love...",Repeat to fade
Outro,,8,,,,,Drummer holds the count and ends on a crash
